"Monthly-mean 2-d atmosphere or land surface data (longitude, latitude, time:month)",,,,,,,,,
,,,,,,,,,
CF standard name,Long_name,Output variable name,Units,Scalar dims,Cell Method,Positive Flux Dir.,Min Value,Max Value,Notes
atmosphere_optical_thickness_due_to_seasalt_ambient_aerosol,Seasalt AOD at 550nm,od550ss,1,wv550nm,time: mean,NA,0.0,1000.0,
atmosphere_optical_thickness_due_to_dust_ambient_aerosol,Dust AOD at 550nm,od550dust,1,wv550nm,time: mean,NA,0.0,1000.0,
atmosphere_optical_thickness_due_to_water_in_ambient_aerosol,Aerosol Water AOD at 550nm,od550aerh2o,1,wv550nm,time: mean,NA,0.0,1000.0,proposed name: atmosphere_optical_thickness_due_to_water_ambient_aerosol
CF25_FAIL aerosol_growth_factor_at_90_percent_relative_humidity,Aerosol Growth Factor at 90 Percent RH,gf90aer,1,NA,time: mean,NA,0.0,1000.0,proposed name: aerosol_growth_factor_at_90_percent_relative_humidity
CF25_FAIL toa_instantaneous_longwave_forcing_due_to_clouds_with_reference_composition,Clouds TOA LW-RF With Reference Composition,lwclrefc,W m-2,NA,time: mean,NA,-1000.0,100000.0,proposed name: toa_instantaneous_longwave_forcing_due_to_clouds_with_reference_composition
CF25_FAIL toa_instantaneous_shortwave_forcing_due_to_clouds_with_reference_composition,Clouds TOA SW-RF With Reference Composition,swclrefc,W m-2,NA,time: mean,NA,-1000.0,100000.0,proposed name: toa_instantaneous_shortwave_forcing_due_to_clouds_with_reference_composition
CF25_FAIL liquid_water_cloud_area_fraction,Liquid Water Cloud Area Fraction,lcc,1,NA,time: mean,NA,0.0,1.0,proposed name: liquid_water_cloud_area_fraction
CF25_FAIL ice_cloud_area_fraction,Ice Cloud Area Fraction,icc,1,NA,time: mean,NA,0.0,1.0,proposed name: ice_cloud_area_fraction 
atmosphere_mass_content_of_cloud_liquid_water,Liquid Water Path,lwp,kg m-2,NA,time: mean,NA,0.0,100000.0,
atmosphere_mass_content_of_cloud_ice,Ice Water Path,clivi,kg m-2,NA,time: mean,NA,0.0,100000.0,
planetary_albedo,Planetary Albedo,albs,1,NA,time: mean,NA,0.0,1.0,
surface_albedo,Surface Albedo,albsrfc,1,NA,time: mean,NA,0.0,1.0,
atmosphere_optical_thickness_due_to_cloud,Cloud Optical Depth,cod,1,NA,time: mean,NA,0.0,100000.0,
CF25_FAIL number_concentration_of_ambient_aerosol_in_air_at_liquid_water_cloud_top,Cloud Condensation Nuclei Concentration at Liquid Cloud Top,ccn,m-3,NA,time: mean,NA,0.0,100000000.0,proposed name: number_concentration_of_ambient_aerosol_in_air_at_liquid_water_cloud_top
air_temperature_at_cloud_top,Air Temperature at Cloud Top,ttop,K,NA,time: mean,NA,0.0,500.0,
CF25_FAIL potential_temperature_difference_between_700hPa_and_1000hPa,Lower Tropospheric Stability,lts,K,NA,time: mean,NA,-1000.0,1000.0,proposed name: potential_temperature_difference_between_700hPa_and_1000hPa (Lower Tropospheric Stability)
toa_outgoing_shortwave_flux,TOA Outgoing Shortwave Radiation,rsut,W m-2,NA,time: mean,up,-0.1,10000.0,at the top of the atmosphere
toa_outgoing_shortwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Shortwave Radiation,rsutcs,W m-2,NA,time: mean,up,-0.1,10000.0,
toa_outgoing_longwave_flux,TOA Outgoing Longwave Radiation,rlut,W m-2,NA,time: mean,up,-0.1,10000.0,at the top of the atmosphere (to be compared with satellite measurements)
toa_outgoing_longwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Longwave Radiation,rlutcs,W m-2,NA,time: mean,up,-0.1,10000.0,
surface_downwelling_shortwave_flux_in_air,Surface Downwelling Shortwave Radiation,rsds,W m-2,NA,time: mean,down,-0.1,10000.0,
surface_upwelling_shortwave_flux_in_air,Surface Upwelling Shortwave Radiation,rsus,W m-2,NA,time: mean,up,-0.1,10000.0,
surface_downwelling_longwave_flux_in_air,Surface Downwelling Longwave Radiation,rlds,W m-2,NA,time: mean,down,-0.1,10000.0,
surface_upwelling_longwave_flux_in_air,Surface Upwelling Longwave Radiation,rlus,W m-2,NA,time: mean,up,-0.1,10000.0,
CF25_FAIL toa_instantaneous_shortwave_forcing_due_to_methane,All-Sky SW-RF CH4 at TOA,swtoaasch4,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_shortwave_forcing_due_to_methane
CF25_FAIL toa_instantaneous_longwave_forcing_due_to_methane,All-Sky LS-RF CH4 at TOA,lwtoaasch4,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_longwave_forcing_due_to_methane
CF25_FAIL toa_instantaneous_shortwave_forcing_due_to_nitrous_oxide,All-Sky SW-RF N2O at TOA,swtoaasn2o,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_shortwave_forcing_due_to_nitrous_oxide
CF25_FAIL toa_instantaneous_longwave_forcing_due_to_nitrous_oxide,All-Sky LW-RF N2O at TOA,lwtoaasn2o,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_longwave_forcing_due_to_nitrous_oxide
CF25_FAIL toa_instantaneous_shortwave_forcing_due_to_halocarbons,All-Sky SW-RF Halocarbons at TOA,swtoaashc,W m-2,NA,time: mean,NA,-1000.0,1000.0,CFCs/HCFCs/PFCs/HFCs/SF6. proposed name: toa_instantaneous_shortwave_forcing_due_to_halocarbons
CF25_FAIL toa_instantaneous_longwave_forcing_due_to_halocarbons,All-Sky LW-RF Halocarbons at TOA,lwtoaashc,W m-2,NA,time: mean,NA,-1000.0,1000.0,CFCs/HCFCs/PFCs/HFCs/SF6. proposed name: toa_instantaneous_shortwave_forcing_due_to_halocarbons
CF25_FAIL toa_instantaneous_shortwave_forcing_due_to_ozone,All-Sky SW-RF O3 at TOA,swtoaaso3,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_shortwave_forcing_due_to_ozone
